"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Taylor Rogers",5100,"Min@Sea 10:10PM ET",2.417,"Min"
"SP","Colin Rea",5100,"SD@Ari 09:40PM ET",9.350,"SD"
"SP","Daniel Wright",5100,"Cin@Mil 08:10PM ET",9.200,"Cin"
"1B","David Ortiz",5000,"Bos@Tor 07:07PM ET",11.372,"Bos"
"SP","Ryan Vogelsong",5000,"Pit@Tex 08:05PM ET",3.913,"Pit"
"OF","Jose Bautista",5000,"Bos@Tor 07:07PM ET",8.878,"Tor"
"SP","Derek Holland",5000,"Pit@Tex 08:05PM ET",8.156,"Tex"
"2B","Jean Segura",5000,"SD@Ari 09:40PM ET",9.089,"Ari"
"OF","Mike Trout",5000,"Hou@LAA 10:05PM ET",10.000,"LAA"
"SP","Justin Nicolino",5000,"Mia@Atl 07:35PM ET",7.992,"Mia"
"2B","Robinson Cano",4900,"Min@Sea 10:10PM ET",10.217,"Sea"
"2B","Ian Kinsler",4900,"Det@Oak 10:05PM ET",9.600,"Det"
"SP","Chad Bettis",4900,"SF@Col 08:40PM ET",12.590,"Col"
"OF","Charlie Blackmon",4900,"SF@Col 08:40PM ET",8.273,"Col"
"2B","Jose Altuve",4900,"Hou@LAA 10:05PM ET",11.229,"Hou"
"OF","Bryce Harper",4900,"StL@Was 07:05PM ET",9.745,"Was"
"SP","Tyrell Jenkins",4900,"Mia@Atl 07:35PM ET",0,"Atl"
"SP","Matt Andriese",4900,"NYY@TB 07:10PM ET",20.225,"TB"
"2B","Joe Panik",4900,"SF@Col 08:40PM ET",7.488,"SF"
"SS","Francisco Lindor",4900,"Bal@Cle 07:10PM ET",8.705,"Cle"
"OF","Mookie Betts",4900,"Bos@Tor 07:07PM ET",10.404,"Bos"
"OF","Nelson Cruz",4800,"Min@Sea 10:10PM ET",8.933,"Sea"
"SP","Jeff Locke",4800,"Pit@Tex 08:05PM ET",8.550,"Pit"
"1B","Brandon Belt",4800,"SF@Col 08:40PM ET",7.250,"SF"
"SP","Danny Duffy",4800,"CWS@KC 08:15PM ET",4.722,"KC"
"2B","Jason Kipnis",4800,"Bal@Cle 07:10PM ET",8.182,"Cle"
"SP","Shane Greene",4800,"Det@Oak 10:05PM ET",6.413,"Det"
"3B/SS","Manny Machado",4800,"Bal@Cle 07:10PM ET",10.333,"Bal"
"SP","Clayton Blackburn",4800,"SF@Col 08:40PM ET",0,"SF"
"SP","Kendall Graveman",4800,"Det@Oak 10:05PM ET",8.839,"Oak"
"SP","Matt Cain",4700,"SF@Col 08:40PM ET",9.800,"SF"
"RP","Mike Montgomery",4700,"Min@Sea 10:10PM ET",5.126,"Sea"
"OF","J.D. Martinez",4700,"Det@Oak 10:05PM ET",8.378,"Det"
"SP","Chris Beck",4700,"CWS@KC 08:15PM ET",0,"CWS"
"3B","Jake Lamb",4700,"SD@Ari 09:40PM ET",7.739,"Ari"
"SS","Xander Bogaerts",4700,"Bos@Tor 07:07PM ET",10.000,"Bos"
"3B","Matt Duffy",4700,"SF@Col 08:40PM ET",6.388,"SF"
"OF","Yasmany Tomas",4700,"SD@Ari 09:40PM ET",7.634,"Ari"
"3B","Adrian Beltre",4600,"Pit@Tex 08:05PM ET",7.319,"Tex"
"SP","Ubaldo Jimenez",4600,"Bal@Cle 07:10PM ET",9.644,"Bal"
"SP","Junior Guerra",4600,"Cin@Mil 08:10PM ET",19.420,"Mil"
"1B","Ryan Zimmerman",4600,"StL@Was 07:05PM ET",7.238,"Was"
"OF","Michael Brantley",4600,"Bal@Cle 07:10PM ET",6.000,"Cle"
